id,age,gender,race,ethnicity,time,feedback
1,69,Male,White,Non-Hispanic,1152706,
2,30,Male,Asian,Non-Hispanic,499156,"intention. was player b trying to help (even if it failed?)

the last one was also interesting. a was in the corner, but i'm wondering if they can see pass the black lines

also the word time is very confusing. it took me a while to understand timing meant steps, not literal time. i don't understand why it was called time because there was no time involved"
3,44,Female,White,Non-Hispanic,774276,
4,54,,White,Non-Hispanic,1188824,"How the one with the block worked with the other and the factor of how many ""Steps"" it tool to reach the goal."
5,38,Male,White,Non-Hispanic,514315,The main factor was if player B moved the box into the path of player A. The next was if player A went the wrong way or took the long path. 
6,28,Male,Black/African American,Non-Hispanic,2226451,
7,52,Male,White,Non-Hispanic,190140,
8,38,Female,White,Non-Hispanic,921605,I was just watching to see if Player B seemed to be trying to block or unblock the path for Player A.
9,53,Male,White,Non-Hispanic,2589430,
10,34,Female,Multiracial,Non-Hispanic,1148658,No
11,20,Female,White,Non-Hispanic,538650,"I mostly looked at how critical the helper/hinderer was, but I started to notice as the study went on that the player going to the star was the problem because they didn't trust their helper"
12,31,Female,White,Non-Hispanic,699791,"I evaluated the movements of player 2. In many cases, it was clear that they moved the block so player 1 could not have a direct path to the star. Other cases weren't as clear-cut; player 2 sometimes moved block 2 too late, which made player 1 start down a path that wouldn't allow them to arrive at the star in time. "
13,39,Male,Black/African American,Non-Hispanic,817205,
14,25,Female,White,Non-Hispanic,634653,I want to play this game!
15,35,Male,Black/African American,Non-Hispanic,1528022,what player 2 was doing. and no
16,46,Female,White,Non-Hispanic,1355101,I wasn't trying to get technical where say player A could have made a different move to prevent player B from blocking them period or waited to see what player B was going to do so I kept it cut and dry. 
17,37,Male,Black/African American,Non-Hispanic,2526930,Movements from both players and outcome influenced my decision.
18,35,Female,Black/African American,Non-Hispanic,1782655,"1. Delay of action of B (like in the last game),
2. Alternative routes A could have taken,
3. Assessing the block's position at the start of the game (if it's already in the way, then B was a helper and A should have taken the best route). "
19,32,Female,White,Non-Hispanic,387818,I watched how player B moved or didn't move the box.
20,22,Male,White,Non-Hispanic,630596,"If there was a safer path to play to determine the helpfulness of player 2, I put some blame of the failing on Player A. This scaled depending on if player B could then move the box to block the safe path."
21,36,Male,Black/African American,Non-Hispanic,2755225,
22,47,Female,White,,1053756,Whether or not player B blocked Player A or if player A took the wrong route.
23,24,Female,Asian,Non-Hispanic,505133,
24,62,Female,White,Non-Hispanic,1454761,some may have helped if they moved faster
25,36,Female,White,Non-Hispanic,390365,The decisions each player made with their moves and whether one had an option to make a better choice and if that prevented someone from losing.
26,48,Male,White,Non-Hispanic,939454,I just watched the actions of the players to determine my responses. I also counted the possible moves to see the possible routes a player could take to determine if failure was partially their fault. I can't think of any questions or other comments at the moment.
27,50,Female,White,Non-Hispanic,644137,To see when and where player b moved the black box 
28,34,Female,White,Hispanic,1619732,whether the non player acted in a way to attempt to help or create an obstacle
29,53,Male,White,Non-Hispanic,1013160,
30,32,Female,White,Non-Hispanic,708940,
31,23,Female,White,Non-Hispanic,1542928,
32,35,Female,Black/African American,Non-Hispanic,538967,
33,55,Female,White,Non-Hispanic,1384062,"Occasionally, there was a route that Player A could take that would avoid any interference from Player B. If they choose not to take that route and rely on B's cooperation for an alternate route, they bear some responsibility for failure. "
34,41,Female,Middle Eastern,Non-Hispanic,944201,"If Player B blocked the most direct way to get to the star, then they were an obvious hinderer, and that makes them 100% responsible for the failure."
35,39,Female,White,Non-Hispanic,599209,just counted the moves and no.
36,54,Male,White,Non-Hispanic,974361,
37,22,Male,White,Non-Hispanic,520339,
38,43,Male,White,Non-Hispanic,1458808,If player A could have made it without the help or hinderance of player B
39,23,Female,White,Non-Hispanic,573514,What the players did influenced me.
40,28,Male,White,Non-Hispanic,600604,Was pretty simple by looking at the games
41,52,Female,White,Non-Hispanic,432406,Good Study
42,39,Male,White,Non-Hispanic,844597,"If player B made the game unwinnable, A received no blame and B received all. If a player A took an unwinnable path instead of waiting for player B to move the box, they got a lot of the blame."
43,62,Male,White,Non-Hispanic,952065,I tried to figure out when it was mathematically impossible to follow a particular route and succeed. 
44,21,Female,White,Non-Hispanic,686986,"I thought about how I would hinder the player if I was player B, and if they did something similar, that's how I decided if they were a hinderer or helper."
45,19,Male,Black/African American,Non-Hispanic,613391,The interactions between each of the players heavily influenced how I responded.
46,39,Female,White,Non-Hispanic,957178,
47,56,Female,Multiracial,Non-Hispanic,868950,when B chose to move box and the direction a choice to go in # of steps allowed
48,25,Male,White,Hispanic,905544,if p2 blocked someone
49,49,Male,Black/African American,Non-Hispanic,1887794,i realised very time player makes a move player b tries to hinder.
50,43,Male,Black/African American,Non-Hispanic,2834165,The factor that influenced my decision is how player A reacted 
