id,trial,int,judge_t1,resp_blue,resp_red
20,8,93,4,21,88
20,5,6,88,72,89
20,4,41,100,75,63
20,1,0,100,63,76
20,6,0,100,41,89
20,3,0,100,52,74
20,10,87,0,9,98
20,9,100,0,7,84
20,12,100,0,0,98
21,1,1,89,71,93
21,12,99,10,2,99
21,11,100,45,2,100
21,3,1,98,79,79
21,9,99,4,2,98
21,7,98,33,1,100
21,6,1,99,92,95
21,5,0,99,90,82
21,8,100,3,1,84
21,2,2,99,85,86
21,4,20,100,85,73
21,10,99,5,2,94
22,1,98,99,91,27
22,2,0,98,96,25
22,8,1,14,98,1
22,6,78,99,32,74
22,5,2,96,91,36
22,7,1,1,91,34
22,11,88,3,10,93
22,12,98,2,7,94
22,3,98,97,9,97
22,4,1,90,100,7
22,10,1,1,96,13
22,9,90,2,8,91
23,1,0,48,100,9
23,10,97,1,18,86
23,7,100,14,6,92
23,11,54,32,49,85
23,9,82,0,38,76
23,6,0,99,100,35
23,2,0,100,99,54
23,3,4,97,100,51
23,4,2,0,96,28
23,8,100,0,7,100
23,12,92,0,21,84
23,5,100,92,92,46
24,5,0,96,73,100
24,6,2,100,81,91
24,9,98,1,3,99
24,4,0,87,82,23
24,11,97,2,1,100
24,1,2,100,40,95
24,10,98,1,2,99
24,12,100,0,0,100
24,2,3,100,50,98
24,8,99,1,0,98
24,3,0,96,17,97
24,7,99,2,2,96
25,5,99,26,76,75
25,1,100,95,71,71
25,8,100,0,79,78
25,11,0,0,100,14
25,10,0,13,100,25
25,3,100,70,0,100
25,4,100,0,0,100
25,7,100,6,1,100
25,12,0,1,100,25
25,6,15,75,100,100
25,9,100,0,0,100
25,2,100,71,0,100
26,7,100,100,98,99
26,10,100,100,100,100
26,9,100,0,100,100
26,3,100,98,100,0
26,4,100,100,100,0
26,2,100,100,100,0
26,12,2,0,0,100
26,1,0,100,0,100
26,6,0,100,0,100
26,5,100,100,0,100
26,8,0,0,100,100
26,11,0,0,100,0
27,9,99,1,1,99
27,10,83,59,38,61
27,3,1,99,98,16
27,6,2,100,16,98
27,7,99,1,1,100
27,1,1,98,22,88
27,11,99,2,2,99
27,8,100,2,2,99
27,2,1,98,4,99
27,12,98,0,16,77
27,4,99,81,1,99
27,5,1,100,25,77
28,8,99,1,1,99
28,9,99,0,1,99
28,2,1,99,99,76
28,12,100,1,1,99
28,10,98,1,2,99
28,11,50,15,66,66
28,5,1,98,99,23
28,6,1,98,99,78
28,3,1,99,99,61
28,1,0,99,99,67
28,7,100,1,1,99
28,4,1,98,47,48
29,12,93,90,91,74
29,7,86,29,90,53
29,8,37,66,88,34
29,1,34,92,82,28
29,11,28,40,80,34
29,5,35,74,68,48
29,2,59,51,75,39
29,4,59,73,53,60
29,3,43,39,77,39
29,9,37,62,70,32
29,6,43,84,67,46
29,10,22,35,80,35
30,4,26,100,91,0
30,3,0,100,100,0
30,5,0,100,100,0
30,10,100,0,0,100
30,7,100,0,100,0
30,6,0,0,100,0
30,1,0,100,100,0
30,2,0,0,100,0
30,9,100,0,0,100
30,11,100,0,0,100
30,12,100,0,0,100
30,8,100,0,0,100
31,3,0,59,96,16
31,6,0,95,100,1
31,1,0,100,82,40
31,7,100,0,2,100
31,5,0,98,88,33
31,4,0,99,97,14
31,10,99,3,1,78
31,11,99,1,21,79
31,8,100,1,14,77
31,2,0,99,77,13
31,12,99,0,10,77
31,9,99,0,10,80
32,2,98,100,100,52
32,12,100,0,99,43
32,3,0,100,100,0
32,6,50,81,0,0
32,7,0,0,0,100
32,9,0,0,100,0
32,5,100,100,0,100
32,4,50,100,52,52
32,10,0,0,100,2
32,8,0,38,46,56
32,11,100,0,0,100
32,1,74,100,0,100
33,3,98,71,94,45
33,6,17,96,85,66
33,7,0,23,97,62
33,2,73,84,10,96
33,12,9,20,88,84
33,10,90,11,15,100
33,4,96,84,0,81
33,8,12,7,88,62
33,5,74,84,61,97
33,11,7,11,89,70
33,1,69,90,46,90
33,9,14,25,87,75
34,4,22,73,50,79
34,8,82,14,22,71
