id,age,gender,race,ethnicity,time,feedback
1,61,Male,White,Hispanic,920086,No questions or comments
2,40,Male,White,Non-Hispanic,718220,Who could have completed the task
3,21,Male,White,Non-Hispanic,502203,How the players moved
4,24,Female,Asian,Non-Hispanic,1141105,How the games went
5,40,Female,White,Non-Hispanic,764316,
6,27,Male,Black/African American,Non-Hispanic,2417320,I adjusted my response depending on whether Player A chose to disregard Player B's assistance or if player B was a hinderer
7,25,Female,Multiracial,Non-Hispanic,868059,If each player did what they were expected to do have a success.
8,28,Male,White,Non-Hispanic,940575,
9,49,Female,Black/African American,Non-Hispanic,1535582,if the person tried something different after a failure that would've changed my answer but none of them did.
10,44,Male,White,Non-Hispanic,741839,I watched and reported on only what I saw. 
11,24,Female,White,Hispanic,831053,
12,28,Female,,Hispanic,1501563,How the player moved after the first move from the second player. 
13,33,Male,White,Non-Hispanic,935339,"I always gave the hinderer 100 percent responsibility. If there were situations that the other player could have reached the block despite the hinderer/helper actions but did not, then I gave them responsibility also.

This is the best study I've done on here. Very interesting and engaging. "
14,29,Female,White,Non-Hispanic,2697547,
15,33,Male,White,Non-Hispanic,922773,Whether or not the person moving was successful and if not did they try something new.
16,44,Female,White,Non-Hispanic,887785,No comments. I just watched the movement choices and decided whether they made sense or not. 
17,33,Male,White,Non-Hispanic,928228,"I would respond usually by blaming person A for not listening to my instructions. If they listened they would usually reach the goal everytime, so I put most of the blame on them."
18,56,Female,Asian,Non-Hispanic,1418796,"It seemed that if there was an alternative route that would take 10 steps or less and they did not take it, then I assigned more blame to player A.  If however, there was no alternate route, then more blame should be assigned to player B. "
19,40,Male,White,Non-Hispanic,988597,Whether Player A could have altered his route the second time and how impactful was Player B's movement.
20,18,Male,Asian,Non-Hispanic,572474,"The factors that influenced me was seeing if player B was a hinderer or a helper, and then seeing whether player A needed to change their strategy or not."
21,30,Female,White,Non-Hispanic,925094,none
22,27,Female,White,Non-Hispanic,1582875,"I guess just my own personal judgement based on player 1 and player 2 and their respective actions. Sometimes the answer was obvious, others not so much. Ultimately, I suppose my responses were also related to whether they had success in the game or not. "
23,22,Male,Black/African American,Non-Hispanic,1957058,just how fast or slow player b would do things
24,25,Male,Black/African American,Non-Hispanic,1206981,Whether the helper actually did their job or not.
25,25,Male,White,Hispanic,1109497,Decide if player B is a helper or hinderer first. Then decide based on how player A moved. 
26,38,Male,Asian,Non-Hispanic,710955,Interesting experiment
27,48,Female,White,Non-Hispanic,1050475,route with least number of steps and assessment of other players status from their moves
28,52,Female,White,Non-Hispanic,742632,"Depending on where they moved the block determined if they were a helper or hinderer. If they failed and didn't change their route the second time, they were partly to blame for failing the second time."
29,31,Male,White,Non-Hispanic,625683,Based on Fail/success and strategy of Helper/hinder
30,25,Male,White,Hispanic,403199,Naur
31,26,Female,White,Hispanic,1009869,"Whether A went a different directions even when B was a helper, I feel like A would have caused the fail then."
32,36,Male,Black/African American,Non-Hispanic,1443736,The factor that I paid the most attention to was whether or not the player was intentionally moving the box in or out of the way of the other player; to either help or hinder them.
33,37,Male,White,Non-Hispanic,763313,If people repeated mistakes I saw it very negatively
34,27,Male,White,Non-Hispanic,682628,Seeing how player A did or did not respond to their result and player B's actions from the first round
35,21,Female,White,Non-Hispanic,959642,"If the technique worked the first time and player 1 changed it for round 2 and failed, then I considered it their fault. If i thought player 2 was a hinderer, they were always at fault at least somewhat. If round 1 failed and the technique wasnt changed, then it was player 1s fault again."
36,57,Male,White,Non-Hispanic,1115966,"My decisions were based on whether player B move a block out of the way of player A or in the way, together with whether the path player A chose was too long to get there in time or not."
37,23,Female,Multiracial,Hispanic,915529,"Whether player B blocked the path for player A or not. Or, if player A took the longest route, wasting moves"
38,32,Male,White,Non-Hispanic,663834,"Don't change success, try something different after failure. "
39,25,Male,Hispanic,Hispanic,2362900,"I noticed that when player 2 is a helper and player 1 succeeds in the first round they should do the same thing again, but they always seemed to play around player 2 as if they were hindrances when they helped in the first round. I think it's Player 1s fault for not recognizing that Player 2 was helping. Though none of the rounds showed this, sometimes I was going to think one of the Player 2s was going to start out helpful then betray Player 1. Most of the time when Player 2 is a hindrance it is obviously their fault but in round 2 I think Player 1 should play around them instead of expecting them to move the box in a good way. "
40,71,,White,Non-Hispanic,1006873,The results.  But my input had nothing to do with round two since player a did their own thing.
41,66,Female,White,Non-Hispanic,1786918,The number of squares A had to go through
42,32,Female,White,Non-Hispanic,769411,I went based on who looked like they were trying to block others or help others 
43,30,Male,White,Non-Hispanic,521626,"If player B blocked player A, they were most likely a hinderer and the main cause of failure."
44,24,Female,Asian,Non-Hispanic,791314,
45,42,Female,Black/African American,Non-Hispanic,1352469,I decided who was responsible for failure or success based on the movements of the players.
46,26,Female,White,Non-Hispanic,1769772,"If Player A didn't try anything different in round 2 after Player B hindered their movement, I thought it was Player A's fault that they failed. Player B is at less of a fault because they followed their role. "
47,23,Female,Asian,Non-Hispanic,767813,
48,35,Male,Asian,Non-Hispanic,816709,Based on the instructions is how I determined how I responded.
49,30,Male,White,Non-Hispanic,876592,"When the player gets blocked the first round, they always just repeated their mistakes in the second round. That means it's 100% their fault for losing since it was possible to reach the star even with the player hindering"
50,36,Male,White,Non-Hispanic,917771,"In pretty much every case I feel like it was obvious whether player B was helping or not. I feel like player B could always block player A if they wanted to so my answers tended to be towards the extremes (it's either completely one player's fault or the other's).

Good luck with your research! :)"
